class,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123
citric-acid,-2.514879884,-2.290036673,-2.019893654,-1.629956835,-1.16221066,-0.773212976,-0.54567061,-0.402178792,-0.248777971,0.004448447,0.347608729,0.6868846,0.780693294,0.425461668,-0.207569512,-0.707313502,-0.794866038,-0.514940942,-0.179361418,0.016210968,0.083511723,0.059748043,-0.039231917,-0.163953288,-0.285711538,-0.395181309,-0.46959825,-0.522715521,-0.541467137,-0.529255504,-0.498089799,-0.423846204,-0.30912092,-0.204615067,-0.151526659,-0.074864281,0.179601873,0.600287151,0.828872305,0.569858782,-0.029919223,-0.635371139,-1.036581608,-1.216134919,-1.225001873,-0.982553037,-0.470274036,0.165920542,0.697966278,0.857770411,0.598145655,0.127453217,-0.189274244,-0.210877639,-0.076509504,0.04382731,0.012647691,-0.07457951,-0.137191399,-0.130793579,-0.048539551,-0.005885097,-0.020070492,-0.0516123,-0.077898697,-0.089418673,-0.069686683,0.025449613,0.26482822,0.66724031,1.016381148,0.968066988,0.509091432,-0.085016691,-0.462978131,-0.506435071,-0.375467245,-0.25204013,-0.158989248,-0.005945315,0.25825296,0.722691624,1.321272285,1.914342964,2.475511177,3.01170788,3.57169688,3.670044762,2.444934708,0.241868567,-1.731166034,-2.390266443,-1.614270637,-0.491254972,0.309581183,0.841523183,1.183919937,1.369703462,1.425815966,1.399783658,1.29297982,1.104293081,0.849574145,0.572881481,0.344666865,0.182774317,0.075459816,-0.021765182,-0.132089389,-0.285744308,-0.448951753,-0.570966116,-0.647831608,-0.691950929,-0.728238849,-0.757760276,-0.771387828,-0.748863554,-0.695128389,-0.630187826,-0.540341129
citric-acid,-2.499748969,-2.265762828,-1.986079022,-1.604698952,-1.146934211,-0.776976174,-0.535539008,-0.402813846,-0.251311211,-0.003025662,0.330258957,0.671942258,0.755110521,0.4119252,-0.206684539,-0.697617365,-0.788107678,-0.52144919,-0.188419032,0.006116281,0.082894775,0.061231853,-0.042113379,-0.15952214,-0.281160264,-0.391055358,-0.464210457,-0.519562882,-0.533578172,-0.525334958,-0.497552794,-0.424788718,-0.313322756,-0.207021481,-0.16098801,-0.082100555,0.171312762,0.584042687,0.809538861,0.5508716,-0.03610802,-0.630022237,-1.021726408,-1.199222634,-1.207759379,-0.970082415,-0.469099302,0.158250119,0.682741323,0.84303127,0.587289624,0.12314834,-0.189050925,-0.211595577,-0.081513533,0.036531283,0.00817564,-0.076379165,-0.135425376,-0.129410491,-0.048878868,-0.005389644,-0.020070562,-0.050357121,-0.075055362,-0.089257278,-0.071798282,0.02014074,0.251898194,0.648956235,0.994821472,0.949834205,0.497743966,-0.088629239,-0.461960673,-0.504258773,-0.372364505,-0.25305049,-0.159970895,-0.009445616,0.248040217,0.704430616,1.294454156,1.886617005,2.448092766,2.993489837,3.569654326,3.688900993,2.477184602,0.258552973,-1.741671208,-2.422222427,-1.64457184,-0.505543656,0.31066479,0.85227537,1.199178454,1.392805545,1.457740636,1.439540894,1.343446064,1.148424954,0.884218941,0.597532948,0.371039296,0.214157759,0.096992789,-0.007497397,-0.130627114,-0.280752769,-0.443658287,-0.577030151,-0.662559889,-0.710137492,-0.742310289,-0.772603027,-0.779517947,-0.75689759,-0.702919913,-0.635423169,-0.553937548
citric-acid,-2.491824053,-2.273462297,-2.00942951,-1.61097115,-1.148880894,-0.763553211,-0.534290139,-0.402756641,-0.248530706,-0.007775811,0.330272873,0.678569606,0.77258244,0.421888644,-0.211052266,-0.702279317,-0.7938113,-0.515496518,-0.181011987,0.011737574,0.088778951,0.059712226,-0.043143591,-0.165102678,-0.2845161,-0.388854243,-0.461279463,-0.516099634,-0.536025392,-0.52560307,-0.495923166,-0.42404931,-0.311326027,-0.208898109,-0.159835144,-0.082044472,0.171127292,0.588285134,0.817148483,0.55898458,-0.034752207,-0.635539056,-1.034725271,-1.211481158,-1.219859892,-0.981064756,-0.471526691,0.16288451,0.695606616,0.856485273,0.598130873,0.131138674,-0.184880943,-0.20603996,-0.074745877,0.043087967,0.013486225,-0.075043718,-0.135228905,-0.128283542,-0.047997318,-0.004869915,-0.020032134,-0.051070858,-0.07540974,-0.087234706,-0.068537894,0.024217326,0.257914971,0.6566332,1.004124532,0.955442068,0.498579299,-0.09420907,-0.470396115,-0.510697381,-0.376708537,-0.252814212,-0.160088565,-0.009980201,0.250120501,0.711311463,1.309048475,1.904937202,2.467769944,3.009263605,3.578210067,3.690576426,2.466306512,0.253958365,-1.737929071,-2.407531972,-1.625986997,-0.497827558,0.314473311,0.848000447,1.191157795,1.37972571,1.434993166,1.409508174,1.303112601,1.113854659,0.85988616,0.581693611,0.355930372,0.195256382,0.08205008,-0.0190405,-0.140049445,-0.290533217,-0.445319799,-0.57237839,-0.647531353,-0.69390198,-0.732223116,-0.763232841,-0.773656355,-0.751872042,-0.698233953,-0.63512812,-0.554542839
citric-acid,-2.523691382,-2.305489448,-2.024071342,-1.612603018,-1.156171855,-0.759040727,-0.523570377,-0.389129349,-0.230955495,0.027013437,0.39121261,0.752331858,0.850964995,0.482144071,-0.188030619,-0.722069505,-0.823464152,-0.525814264,-0.169815495,0.03971777,0.110152268,0.077878659,-0.02696218,-0.155843546,-0.280422275,-0.39502853,-0.479417636,-0.538225904,-0.558222912,-0.546007573,-0.510053315,-0.431397801,-0.311142077,-0.203688509,-0.149631265,-0.065109328,0.207113327,0.652541508,0.896014661,0.62417104,-0.00868361,-0.644107344,-1.066254372,-1.251122322,-1.254989442,-1.001188715,-0.469400913,0.181242412,0.722592899,0.881498581,0.61237451,0.124716016,-0.203325642,-0.22144471,-0.080037775,0.049949152,0.01932501,-0.073270472,-0.137242118,-0.131686014,-0.046935713,-0.0018112,-0.01707342,-0.047641744,-0.072504651,-0.084735776,-0.065601062,0.031939495,0.277596777,0.690893112,1.054080312,1.005751384,0.53426374,-0.075555623,-0.4669943,-0.512516161,-0.382113623,-0.261499158,-0.166178932,-0.010215921,0.255332694,0.723191463,1.323177359,1.916282076,2.468902107,2.994033004,3.537909448,3.63413634,2.43719086,0.256580434,-1.705926173,-2.378086327,-1.626582827,-0.513089524,0.285475166,0.810993758,1.148810284,1.333866373,1.388262687,1.359705757,1.259272701,1.072397962,0.817134308,0.547619589,0.322396167,0.169653724,0.057704325,-0.044393203,-0.161602658,-0.299698571,-0.446403931,-0.56679224,-0.64269377,-0.698149702,-0.733995136,-0.764104891,-0.777967443,-0.761547249,-0.71398999,-0.653733264,-0.569550682
citric-acid,-2.500086535,-2.274402747,-2.013380608,-1.605136802,-1.145364988,-0.755628203,-0.528512473,-0.39929306,-0.237945577,0.031329152,0.402585513,0.756080764,0.850438203,0.468907856,-0.202910648,-0.721046189,-0.817227344,-0.520505466,-0.172686376,0.033705417,0.11317569,0.081025501,-0.026731233,-0.163284208,-0.292642441,-0.402887173,-0.483166493,-0.534642567,-0.555028498,-0.546348941,-0.512558622,-0.435095569,-0.313707032,-0.206762684,-0.152052744,-0.069559563,0.200887228,0.642312389,0.881190828,0.610458006,-0.019635424,-0.654237506,-1.078432825,-1.266020511,-1.272058286,-1.016380891,-0.479437268,0.181131646,0.735723199,0.900724767,0.629671386,0.13804903,-0.19441231,-0.21490012,-0.075548617,0.050990965,0.018346721,-0.073903496,-0.137294134,-0.132238506,-0.047379692,-0.003343087,-0.018338399,-0.049844307,-0.07574595,-0.088911314,-0.069910522,0.029353541,0.274700201,0.689327665,1.049207878,0.998095105,0.524676743,-0.091805505,-0.486162354,-0.530832649,-0.394067371,-0.264991747,-0.16701323,-0.011139909,0.255256189,0.726051727,1.32978238,1.925011563,2.481507753,3.002337362,3.540101479,3.635377741,2.443632606,0.275646927,-1.684794286,-2.36470049,-1.620094151,-0.505922539,0.296316281,0.821983797,1.157719158,1.336258992,1.386566791,1.358216745,1.252326985,1.073485316,0.824115376,0.555450835,0.328725412,0.163244709,0.057930513,-0.044208922,-0.154074262,-0.296219609,-0.451576429,-0.56937338,-0.646813703,-0.695525567,-0.73190702,-0.763224496,-0.784590391,-0.771565476,-0.72076073,-0.650193354,-0.561016513
citric-acid,-2.514546314,-2.267526355,-1.998497684,-1.60472454,-1.144546631,-0.763088458,-0.527815455,-0.391246556,-0.235461334,0.020640882,0.390883113,0.747028899,0.84064974,0.469518344,-0.200846528,-0.718900929,-0.820693554,-0.526903785,-0.170285964,0.03338675,0.109553501,0.076817425,-0.033280592,-0.166930872,-0.292926292,-0.399728582,-0.476582036,-0.5341626,-0.557686924,-0.546630583,-0.50871125,-0.431584008,-0.31131764,-0.206083675,-0.15615412,-0.070910809,0.192272414,0.633579196,0.874416985,0.602740139,-0.021265828,-0.658679328,-1.078481324,-1.266920733,-1.272549283,-1.018273043,-0.483098069,0.182691826,0.735050418,0.903443949,0.631886627,0.144692854,-0.185677294,-0.209896082,-0.070463112,0.051068306,0.019963951,-0.071178353,-0.135788385,-0.129612115,-0.048263323,-0.004305264,-0.020049308,-0.051710137,-0.074887197,-0.087792951,-0.06685758,0.028904874,0.271929934,0.685516267,1.041703535,0.990941543,0.515684436,-0.097967911,-0.48950405,-0.532728411,-0.391407943,-0.263931824,-0.165376292,-0.011889406,0.253547264,0.725059236,1.325605231,1.92133275,2.473972155,2.995711355,3.543269524,3.640534371,2.450195655,0.276767833,-1.686306328,-2.358759246,-1.614915193,-0.500769868,0.294795656,0.820877688,1.157811327,1.341649787,1.396624529,1.362934531,1.267356131,1.084087795,0.830643587,0.564350921,0.334426535,0.182855199,0.069328047,-0.043071429,-0.152212766,-0.294902585,-0.446611384,-0.574525029,-0.655096531,-0.704907318,-0.739708368,-0.768429047,-0.787454383,-0.766346028,-0.716189356,-0.651386269,-0.56078327
citric-acid,-2.488752154,-2.294397221,-2.041556662,-1.6207771,-1.152086571,-0.757075806,-0.532115881,-0.391976891,-0.229860567,0.023099262,0.381302618,0.733232975,0.834322315,0.464961208,-0.195675858,-0.715664423,-0.814438384,-0.519297553,-0.168733862,0.037084653,0.106342114,0.074557162,-0.03072521,-0.167503382,-0.291091873,-0.402002447,-0.473857957,-0.526187903,-0.552115965,-0.541578683,-0.508276931,-0.429724318,-0.309196254,-0.201128618,-0.149557174,-0.069584527,0.196735792,0.631598266,0.869465577,0.60013597,-0.025423297,-0.653618364,-1.073758103,-1.257299771,-1.261741898,-1.011821609,-0.479121204,0.181986321,0.736231823,0.90339222,0.632565503,0.143644661,-0.183917555,-0.206581398,-0.068085078,0.055655974,0.022050846,-0.069351451,-0.132246326,-0.126596916,-0.043818043,-0.000614493,-0.017635575,-0.048996994,-0.073251149,-0.085157682,-0.065201981,0.031000101,0.273780056,0.685234341,1.042307182,0.991786181,0.519635985,-0.092937142,-0.485484241,-0.529798246,-0.390171597,-0.260589948,-0.165212082,-0.01085881,0.256214802,0.727659945,1.330617142,1.922977619,2.477721851,2.999063423,3.544738524,3.64622059,2.449241602,0.27464718,-1.691506928,-2.363751982,-1.614242714,-0.502083431,0.295525997,0.818266354,1.151900807,1.331383397,1.383729546,1.354533086,1.256546752,1.076640425,0.832152065,0.561269327,0.330169925,0.16876735,0.059648164,-0.044994089,-0.156764404,-0.295739654,-0.450787396,-0.574056463,-0.655187231,-0.702876369,-0.734700166,-0.762953985,-0.782551333,-0.765856566,-0.717207968,-0.651314114,-0.560939058
citric-acid,-2.513340093,-2.28144265,-2.004171327,-1.602608251,-1.138538442,-0.762154867,-0.53825178,-0.399375897,-0.238826125,0.031937241,0.38980094,0.736306253,0.8287055,0.460277375,-0.196695265,-0.713581588,-0.809664703,-0.520287119,-0.173772943,0.029140527,0.10626538,0.071501188,-0.035670872,-0.164096122,-0.28936223,-0.396909521,-0.474114395,-0.528253403,-0.549846615,-0.542472356,-0.509703243,-0.432669161,-0.312131406,-0.204176669,-0.15143292,-0.069208381,0.194046456,0.629965767,0.866900422,0.598117465,-0.024685194,-0.654895355,-1.071825377,-1.260565161,-1.267881926,-1.015684748,-0.481674465,0.181003016,0.736572362,0.9071809,0.636580934,0.14737126,-0.182649155,-0.205096085,-0.066066543,0.056244788,0.021651186,-0.070439948,-0.133465591,-0.126211238,-0.043757227,-0.00158451,-0.018882585,-0.050527686,-0.0743617,-0.088305179,-0.066843938,0.031560902,0.27591267,0.688158515,1.043919211,0.991792229,0.517720506,-0.09624758,-0.489589454,-0.533380829,-0.393164305,-0.26214473,-0.16432026,-0.009922988,0.258043376,0.72785591,1.330654867,1.924688572,2.478177656,3.004754629,3.549859685,3.647346841,2.449924905,0.275948125,-1.688840356,-2.362254161,-1.610360992,-0.499407684,0.296845206,0.817031671,1.15309821,1.336145049,1.393240237,1.365241907,1.257648861,1.069829966,0.820930074,0.553351087,0.325702005,0.168519632,0.054755619,-0.043438584,-0.15146661,-0.299908764,-0.453006841,-0.57806186,-0.659534787,-0.701408558,-0.731386045,-0.761809592,-0.781408709,-0.768121721,-0.717727273,-0.653113502,-0.570038947
citric-acid,-2.538305928,-2.315780643,-2.055193784,-1.631939314,-1.15809911,-0.765519146,-0.530171519,-0.394066548,-0.236457223,0.033484751,0.408307442,0.773552112,0.86054249,0.480040224,-0.193371195,-0.722909925,-0.81741138,-0.519199513,-0.162692168,0.045996524,0.116744169,0.078448328,-0.031539243,-0.166367469,-0.29667911,-0.403615648,-0.480976039,-0.533078322,-0.553520596,-0.547590339,-0.5125539,-0.433827019,-0.309151887,-0.199201381,-0.146657426,-0.063618131,0.207065855,0.653445674,0.894714105,0.618929226,-0.01494681,-0.655806074,-1.078763412,-1.26928284,-1.276837521,-1.02040228,-0.480709155,0.190104196,0.748456241,0.916722231,0.642618419,0.147226462,-0.184777308,-0.20586279,-0.064804379,0.060577739,0.027951563,-0.065235973,-0.131906396,-0.128377004,-0.044059999,0.001728744,-0.013309025,-0.045440718,-0.071869288,-0.083061626,-0.061678919,0.035804434,0.28111832,0.693926229,1.054552898,1.004840398,0.528343041,-0.088441115,-0.48567308,-0.530472907,-0.391486697,-0.261648757,-0.162091952,-0.005479979,0.263753858,0.73425258,1.337342454,1.929632717,2.479251762,2.997556639,3.53408124,3.619755291,2.422912286,0.259928157,-1.681565326,-2.339822283,-1.591627763,-0.487134688,0.297434218,0.812161053,1.137527843,1.31311511,1.363220716,1.33613732,1.236113321,1.055935129,0.80329822,0.533362542,0.315491075,0.15947894,0.052865115,-0.05340031,-0.163806256,-0.305796695,-0.459031692,-0.577656977,-0.651833355,-0.691665732,-0.728135403,-0.758922351,-0.778645239,-0.763099812,-0.713100825,-0.647835972,-0.564848811
citric-acid,-2.534816949,-2.306636579,-2.033756837,-1.631144612,-1.153185276,-0.763159133,-0.52243761,-0.386570838,-0.225248195,0.039203502,0.4048448,0.768516555,0.857977411,0.481261325,-0.194430396,-0.721535205,-0.81671064,-0.517748459,-0.165449405,0.038018724,0.113121088,0.081459678,-0.027949309,-0.16154766,-0.290256603,-0.402582269,-0.481683446,-0.543057553,-0.563303177,-0.552792739,-0.51201196,-0.42996573,-0.308175255,-0.198607127,-0.149502644,-0.066200762,0.20459097,0.649457573,0.891097132,0.616522481,-0.019685439,-0.660261755,-1.085329918,-1.274847055,-1.283467062,-1.027154698,-0.48512164,0.189324321,0.753950764,0.922165797,0.649089332,0.15230413,-0.178905906,-0.201985198,-0.062236514,0.061764555,0.027451293,-0.065213811,-0.132698525,-0.125547444,-0.042615229,0.001602821,-0.016287581,-0.049275684,-0.071674554,-0.082879563,-0.061868201,0.035367183,0.279761777,0.694290536,1.053586811,1.000548731,0.523367162,-0.093534096,-0.488232541,-0.532182226,-0.393625521,-0.264913183,-0.164717154,-0.0070237,0.263090771,0.735505987,1.337784872,1.9325187,2.481514024,3.001870236,3.537616235,3.62264545,2.424238314,0.26185813,-1.679940829,-2.340158058,-1.588821334,-0.48839055,0.299346192,0.814677116,1.139042484,1.313050731,1.362506439,1.332987168,1.235751826,1.05393154,0.802907296,0.535890565,0.313273239,0.16212649,0.048951052,-0.051754631,-0.163624919,-0.304383698,-0.457167543,-0.581314371,-0.650601315,-0.695968057,-0.725147838,-0.758043566,-0.779201328,-0.767318345,-0.718756208,-0.652779499,-0.568608649
