class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125
citric-acid,0.1488512,0.08154577,0.02661119,-0.02393792,-0.07292667,-0.1158626,-0.1417526,-0.1564322,-0.1626681,-0.1681264,-0.1709564,-0.1698894,-0.1607334,-0.1413907,-0.111628,-0.07960617,-0.06538198,-0.08146853,-0.1046324,-0.1146887,-0.1141266,-0.1080354,-0.09846434,-0.08924223,-0.08206137,-0.07766489,-0.07771763,-0.08004566,-0.08430915,-0.09111954,-0.09798069,-0.1054693,-0.111674,-0.1173276,-0.1213163,-0.1208844,-0.1161805,-0.1134718,-0.112143,-0.1007009,-0.06941894,-0.03052872,-0.01512652,-0.02724229,-0.04339429,-0.06235391,-0.09231962,-0.1193634,-0.1325516,-0.1304166,-0.1126752,-0.07781833,-0.0426672,-0.02980383,-0.03263776,-0.03602766,-0.03126604,-0.02482756,-0.01623563,-0.006906936,-0.00738207,-0.00701746,-0.001557506,0.005581661,0.01172188,0.01693342,0.02163215,0.02565637,0.02919365,0.03358501,0.04049971,0.05440442,0.08229504,0.1251344,0.1600396,0.1645617,0.1557965,0.1482236,0.1432137,0.1405735,0.1452685,0.1478527,0.1515462,0.1680179,0.1978974,0.2438674,0.3056031,0.378268,0.4630418,0.5626978,0.6790363,0.7478786,0.6990778,0.6133961,0.5670626,0.5545203,0.563516,0.5867358,0.6199082,0.6599652,0.70218,0.7434711,0.7828501,0.8211593,0.851877,0.8745532,0.8907732,0.9026836,0.9110318,0.9179567,0.9236193,0.9250493,0.9227288,0.9149598,0.9053748,0.8955993,0.8849347,0.8723403,0.8597519,0.8473483,0.8349311,0.8249902,0.817705,0.8106326,0.8077071
citric-acid,0.146695,0.08099871,0.02455789,-0.02602987,-0.07570859,-0.1159493,-0.1430952,-0.1579478,-0.1639053,-0.1691463,-0.1713431,-0.1717189,-0.1614377,-0.1423188,-0.1131887,-0.08087964,-0.0669438,-0.08252219,-0.1056863,-0.1153302,-0.1155137,-0.1097192,-0.09955962,-0.09040038,-0.08280401,-0.07839766,-0.07859798,-0.08000994,-0.08449519,-0.09148993,-0.09791455,-0.1051785,-0.1112564,-0.1174086,-0.1209652,-0.1205223,-0.1161606,-0.1131713,-0.1123279,-0.1004037,-0.0692786,-0.030565,-0.01532598,-0.02733709,-0.04318945,-0.0621246,-0.09169748,-0.1187231,-0.1315823,-0.1295828,-0.1119267,-0.07689495,-0.04163158,-0.02868146,-0.03150234,-0.03462959,-0.02980321,-0.02345514,-0.01498227,-0.005384832,-0.005677707,-0.005367363,0.000472154,0.007744675,0.01389549,0.01940983,0.02431915,0.02847988,0.03226367,0.03659052,0.04356844,0.05746274,0.08502477,0.1279933,0.1630588,0.1676571,0.1586883,0.1514089,0.1464036,0.1438073,0.1487517,0.1512018,0.1551445,0.1715999,0.2012744,0.2471045,0.3090748,0.3823609,0.4675041,0.5689629,0.6878538,0.7589621,0.7099477,0.6219333,0.5738764,0.5606343,0.570072,0.593685,0.6277907,0.6689631,0.7123737,0.755197,0.7964799,0.8364732,0.869456,0.8923948,0.909644,0.9221727,0.9324473,0.9395392,0.9450673,0.9470918,0.9447255,0.937263,0.927458,0.916765,0.9054732,0.8928906,0.8800654,0.8664058,0.8548003,0.8443956,0.8365952,0.8293514,0.8262078
citric-acid,0.1428459,0.07626259,0.02241887,-0.02803466,-0.07670347,-0.1192921,-0.1449264,-0.1583911,-0.1653696,-0.1703785,-0.1723315,-0.1722968,-0.1630225,-0.1443369,-0.1144632,-0.08232851,-0.06833416,-0.08440038,-0.1074769,-0.116606,-0.1172228,-0.1106384,-0.1008534,-0.09171915,-0.08423229,-0.08003724,-0.08030373,-0.08213942,-0.08617391,-0.0927964,-0.09948613,-0.1066677,-0.1128483,-0.1184566,-0.1223199,-0.1219106,-0.1173777,-0.1147151,-0.1137324,-0.1020782,-0.07122139,-0.03271339,-0.01729705,-0.02935004,-0.04549092,-0.06434073,-0.09412067,-0.1208714,-0.1340818,-0.1321468,-0.1142413,-0.07932032,-0.04417311,-0.0312745,-0.03380843,-0.03689589,-0.0322261,-0.02550513,-0.01696027,-0.007640834,-0.007873827,-0.007541069,-0.001829477,0.005363156,0.01147382,0.01685713,0.02162762,0.02571186,0.02950918,0.03393957,0.04081303,0.0546507,0.08219342,0.1248269,0.1596041,0.1638982,0.1549947,0.1473058,0.1422796,0.139729,0.1445674,0.1470284,0.1507843,0.1670483,0.1966484,0.2423301,0.3041423,0.3768404,0.4614484,0.5616506,0.6789711,0.7489918,0.6996548,0.6138669,0.5666105,0.5540772,0.5632538,0.5865852,0.6202814,0.6604369,0.7029755,0.7448409,0.7844101,0.8229479,0.8541983,0.8771839,0.8936125,0.9056956,0.9149141,0.9219452,0.9271187,0.9289181,0.9260215,0.9187686,0.9096254,0.8990807,0.8886813,0.8764116,0.8634659,0.8504194,0.8391395,0.8286888,0.8209748,0.8138275,0.8107059
citric-acid,0.1713847,0.1060972,0.05099145,-0.003071131,-0.05074541,-0.09307105,-0.1196388,-0.1339481,-0.1398268,-0.1439433,-0.1468186,-0.1461927,-0.1351041,-0.114663,-0.08291853,-0.04846975,-0.032326,-0.04917697,-0.07371888,-0.08421942,-0.0836475,-0.0766644,-0.06642335,-0.0561407,-0.04860716,-0.04421611,-0.04384721,-0.04573941,-0.05029537,-0.05745377,-0.06476927,-0.07247166,-0.07920048,-0.08515876,-0.08895051,-0.08850493,-0.08373309,-0.08083578,-0.0792443,-0.0668748,-0.03355683,0.007935748,0.02473297,0.01212696,-0.004879244,-0.02417252,-0.0556438,-0.08361942,-0.09675725,-0.09418731,-0.07591444,-0.04004708,-0.003647546,0.009287036,0.006122906,0.002150463,0.006896795,0.01366089,0.02241705,0.03233203,0.03175878,0.03186676,0.03770518,0.04509362,0.0512418,0.05671187,0.0616435,0.0659029,0.06961665,0.07420027,0.08130922,0.09579643,0.1245927,0.1688627,0.2054839,0.2101499,0.2011036,0.1936502,0.1884734,0.1856391,0.1902264,0.1926374,0.1964919,0.2130922,0.2430511,0.2896108,0.3518405,0.424819,0.5091324,0.6088533,0.7242067,0.79343,0.7466524,0.6608351,0.6137707,0.6009584,0.6095579,0.6320455,0.6649645,0.7042429,0.7457488,0.7865681,0.8253672,0.8625076,0.8935739,0.9154121,0.9306535,0.9427552,0.9511537,0.9577389,0.9620515,0.9637136,0.9602435,0.9538363,0.9442472,0.93425,0.9232951,0.9107907,0.8980727,0.8852758,0.8727723,0.8621682,0.8541682,0.8464866,0.8428141
citric-acid,0.1769225,0.1102755,0.05646871,0.00332966,-0.04424623,-0.08630614,-0.1136122,-0.1267745,-0.1323625,-0.1374415,-0.1409109,-0.1392709,-0.1284131,-0.1076024,-0.07508567,-0.04088382,-0.02513928,-0.04277509,-0.06680482,-0.07631664,-0.07644027,-0.06960671,-0.05911456,-0.04859981,-0.04080911,-0.03657124,-0.03616772,-0.03872117,-0.04341345,-0.05016015,-0.05751424,-0.06505544,-0.07185283,-0.07781247,-0.0818096,-0.08124239,-0.07640284,-0.07365347,-0.07202607,-0.0597268,-0.02646503,0.01465181,0.0311926,0.01862008,0.001382966,-0.01850824,-0.05037781,-0.07866037,-0.09244294,-0.08999341,-0.07131954,-0.03474591,0.002485227,0.01590996,0.01288665,0.009241175,0.014198,0.0211178,0.02991716,0.03988307,0.03930978,0.03959225,0.04545217,0.05282205,0.05912142,0.06458963,0.06955972,0.07372691,0.07749738,0.08194936,0.08910939,0.1037664,0.1325505,0.1770857,0.2134817,0.2180587,0.2087101,0.2004448,0.1948549,0.1920693,0.1967687,0.1992027,0.2030298,0.2198137,0.2500381,0.2970633,0.3598773,0.4334304,0.5187004,0.6184291,0.7341655,0.8041805,0.7580214,0.672579,0.6254012,0.6124675,0.621454,0.6446933,0.6779033,0.7173832,0.7594607,0.8001819,0.8389465,0.8766029,0.9072149,0.9300597,0.9456201,0.9578239,0.965926,0.9721873,0.9777917,0.9787068,0.9759961,0.9689667,0.9594734,0.9493203,0.9386657,0.9262376,0.913416,0.9005022,0.8874678,0.8767449,0.8690641,0.8621356,0.8581504
citric-acid,0.1814672,0.1125015,0.05811748,0.006552085,-0.04338782,-0.08411638,-0.1107458,-0.1254116,-0.1316399,-0.1355327,-0.1385379,-0.1379754,-0.127222,-0.106415,-0.07388913,-0.04029773,-0.02439246,-0.04103812,-0.06605415,-0.07588164,-0.07593716,-0.06883685,-0.05834344,-0.0483312,-0.04045082,-0.03608057,-0.03634198,-0.03873881,-0.04301096,-0.04980477,-0.05734423,-0.06520747,-0.07184561,-0.07772676,-0.08158156,-0.08132617,-0.07620294,-0.07359706,-0.07247046,-0.05970569,-0.02720967,0.01412755,0.03066482,0.01790941,0.000507675,-0.01978291,-0.05124242,-0.08020477,-0.09396466,-0.09175111,-0.07280795,-0.03602552,0.001039624,0.01495622,0.01184748,0.008642632,0.01353167,0.02046304,0.0294792,0.03919642,0.03885716,0.03922779,0.0449504,0.05239826,0.05855123,0.064127,0.06884431,0.07310601,0.07705813,0.08142513,0.08867126,0.1030941,0.1319849,0.1765275,0.212634,0.2171897,0.2074716,0.1992591,0.1934707,0.1907317,0.1957026,0.1978291,0.2017605,0.2184672,0.2488781,0.2959054,0.3587278,0.4326859,0.5177755,0.6180031,0.7352083,0.805102,0.7585819,0.6726741,0.62572,0.6129128,0.6215633,0.6452347,0.6781398,0.7180747,0.7601396,0.8018996,0.8406709,0.8780984,0.9105441,0.9328687,0.9479401,0.9612191,0.9698364,0.9766983,0.9809796,0.982567,0.9803637,0.9728733,0.9629868,0.9526432,0.9419315,0.9287117,0.9159721,0.903101,0.889869,0.8794982,0.8716931,0.8640992,0.8606507
citric-acid,0.1713497,0.105692,0.05383959,0.001082486,-0.0481291,-0.091417,-0.1171849,-0.1303744,-0.1375058,-0.1419635,-0.1446766,-0.1429935,-0.1334347,-0.1131947,-0.08152431,-0.04799969,-0.03276127,-0.04932726,-0.0731376,-0.08347078,-0.08338847,-0.07592563,-0.06590325,-0.05611894,-0.04875547,-0.04383749,-0.04421497,-0.04723228,-0.05096555,-0.05788873,-0.06507185,-0.07274281,-0.0792626,-0.08523304,-0.08920722,-0.08857609,-0.08370532,-0.08092571,-0.07968801,-0.06749236,-0.03486743,0.005224599,0.02150811,0.009045483,-0.008302609,-0.02796641,-0.05929377,-0.08713893,-0.1009378,-0.09890269,-0.08023854,-0.04373183,-0.007208691,0.006272354,0.003437865,2.81E-05,0.005069598,0.01185012,0.02080201,0.03052003,0.0299966,0.03037362,0.03632966,0.04349656,0.04966823,0.05520358,0.05990067,0.06398217,0.06792439,0.07238587,0.0793254,0.09363446,0.1222457,0.1660241,0.2017531,0.2063452,0.1969985,0.1886473,0.1829998,0.1803408,0.1851673,0.187374,0.1909194,0.2077153,0.2378012,0.2842028,0.3464407,0.4193643,0.5038078,0.6026537,0.7184436,0.7880638,0.7412186,0.6563175,0.6097106,0.5972707,0.6055537,0.6287704,0.661557,0.7005829,0.7416285,0.7825931,0.8207909,0.8576819,0.8888206,0.9113857,0.9269454,0.9386076,0.9470287,0.9534895,0.9583492,0.9590371,0.9567208,0.9498297,0.9395799,0.9292091,0.9187435,0.9061474,0.8931312,0.8805918,0.8677091,0.8570812,0.8490391,0.8421113,0.8383945
citric-acid,0.1724598,0.106415,0.0519338,-0.000293521,-0.04878782,-0.08957058,-0.11599,-0.1303264,-0.1354994,-0.141045,-0.1445784,-0.1428133,-0.1320795,-0.1117676,-0.08097058,-0.04701723,-0.03184579,-0.04861214,-0.07250395,-0.08199887,-0.08217037,-0.07553773,-0.06527238,-0.05526178,-0.047725,-0.04396391,-0.04363216,-0.04566699,-0.05049527,-0.05725824,-0.06396943,-0.07165936,-0.07865518,-0.08437732,-0.08807966,-0.08803013,-0.08322489,-0.0800471,-0.07888702,-0.06699628,-0.03447129,0.006138533,0.02180832,0.009376864,-0.007462753,-0.02738604,-0.05877108,-0.08692678,-0.1005417,-0.09862114,-0.07997795,-0.04351892,-0.006709856,0.006915525,0.004004349,0.000715859,0.005770597,0.01267798,0.02160889,0.03128531,0.03074048,0.03116491,0.03704247,0.0443916,0.05043101,0.05591304,0.06061647,0.0647778,0.06857351,0.07281046,0.08009102,0.09450004,0.1229827,0.1668486,0.2027483,0.2070974,0.1975753,0.1893433,0.1836069,0.1807274,0.1856137,0.1880344,0.1915673,0.208177,0.2386191,0.2848294,0.3470099,0.4201303,0.5045571,0.6038049,0.7193399,0.7887845,0.7422133,0.6576265,0.610778,0.5983093,0.6072933,0.6301541,0.6626601,0.7018124,0.7435986,0.7841226,0.8228995,0.860145,0.8904608,0.9123306,0.9284682,0.9401997,0.9478468,0.95481,0.9594702,0.9607307,0.9580665,0.950605,0.940972,0.9304796,0.9194038,0.9075616,0.8949509,0.881519,0.86885,0.8586559,0.8505666,0.8427177,0.8389983
citric-acid,0.1638655,0.09752081,0.04671662,-0.007001393,-0.05558996,-0.09653627,-0.1226864,-0.1372075,-0.142567,-0.1471463,-0.1502338,-0.1496787,-0.1388317,-0.118224,-0.08669064,-0.05297245,-0.0383188,-0.05459493,-0.07827809,-0.08846772,-0.0881139,-0.08088689,-0.07081285,-0.06100455,-0.05351424,-0.04955699,-0.04965864,-0.05211448,-0.05693975,-0.06335848,-0.0706935,-0.07810065,-0.0848667,-0.09086353,-0.09473033,-0.09420952,-0.08938366,-0.08663002,-0.08535444,-0.07316723,-0.04081552,-0.000429228,0.0154856,0.003041021,-0.01369624,-0.03332012,-0.06419638,-0.09226526,-0.1056799,-0.1034892,-0.08520948,-0.04922133,-0.01302636,0.000249788,-0.00276448,-0.006180529,-0.001186227,0.00557403,0.01427384,0.02393998,0.02359506,0.02377761,0.02927774,0.03644176,0.04264956,0.04793242,0.0525819,0.0566977,0.06034098,0.06479376,0.07182176,0.08585697,0.1139297,0.1570319,0.1924826,0.1969073,0.1875606,0.179593,0.1739234,0.1711732,0.1757732,0.1781365,0.1817689,0.1981574,0.2278147,0.2732092,0.3341759,0.4054606,0.4876409,0.5841667,0.6964212,0.7628739,0.7175283,0.6352094,0.5905879,0.57827,0.5870454,0.6095902,0.6409916,0.6786726,0.7186361,0.757815,0.7944358,0.8305621,0.8601375,0.8813771,0.8953483,0.9071232,0.9154791,0.9209429,0.9253703,0.9264516,0.9238477,0.9159139,0.9065962,0.8969043,0.8863439,0.8742868,0.8618076,0.8494079,0.8366695,0.8265937,0.8189082,0.8117561,0.8074409
citric-acid,0.1649376,0.09940691,0.04551894,-0.005194335,-0.05441678,-0.09505908,-0.1214289,-0.1355382,-0.1410082,-0.1455716,-0.1479971,-0.1474202,-0.1362151,-0.1160456,-0.08464762,-0.05078234,-0.03575275,-0.05234002,-0.07632352,-0.08583353,-0.08569668,-0.07867894,-0.06889822,-0.0589571,-0.05132248,-0.04700879,-0.04746648,-0.04941704,-0.05400484,-0.06102617,-0.06838498,-0.07627176,-0.08284207,-0.08900379,-0.09236012,-0.09206605,-0.08733506,-0.08446933,-0.08325349,-0.07126421,-0.03879045,0.001517413,0.01740075,0.004929407,-0.0121047,-0.03175672,-0.06299225,-0.09097164,-0.1048704,-0.1026136,-0.0843045,-0.04792868,-0.01152891,0.001750044,-0.000969529,-0.004298845,0.000892814,0.00746287,0.01646516,0.02602344,0.02562753,0.02584205,0.03146552,0.03886721,0.04477125,0.05012055,0.05463595,0.05879659,0.06262285,0.06698,0.07390373,0.08811549,0.1161699,0.1594136,0.1946842,0.1989606,0.1895725,0.1815513,0.1758845,0.1730572,0.1776015,0.1798297,0.1835882,0.1999661,0.2296593,0.2752777,0.3362658,0.407946,0.4901016,0.587213,0.6993982,0.7662073,0.7205481,0.638617,0.5935222,0.5812874,0.590412,0.6126489,0.6442926,0.6822755,0.7222228,0.7610665,0.7981797,0.8340581,0.8638882,0.8846829,0.8993916,0.9109765,0.918854,0.925033,0.9289432,0.9304979,0.9273418,0.9202619,0.9102628,0.9004287,0.890384,0.8779148,0.8657522,0.8530527,0.8405991,0.829693,0.822427,0.8150045,0.8108504
